result,idxs,citations,id
Crizotinib selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models.,"[6, 7, 8]","['colorectal cancer (CRC) cells induce synthetic lethality when treated with inhibitors of c-MET receptor tyrosine kinase. c-MET specific inhibitor PHA-665752 as well as two other FDA-approved drugs, crizotinib and cabozantinib, selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models. Mechanistically, we identified a tripartite functional association', 'colorectal cancer (CRC) cells induce synthetic lethality when treated with inhibitors of c-MET receptor tyrosine kinase. c-MET specific inhibitor PHA-665752 as well as two other FDA-approved drugs, crizotinib and cabozantinib, selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models. Mechanistically, we identified a tripartite functional association', 'colorectal cancer (CRC) cells induce synthetic lethality when treated with inhibitors of c-MET receptor tyrosine kinase. c-MET specific inhibitor PHA-665752 as well as two other FDA-approved drugs, crizotinib and cabozantinib, selectively inhibited the growth of ARID1A-deficient CRC cells in vitro and in xenograft tumor models. Mechanistically, we identified a tripartite functional association']",40369167
Crizotinib achieved a partial response with progression-free survival of 3 months in a metastatic colorectal carcinoma patient with ALK gene rearrangement.,"[1, 2, 5]","['In conclusion, we have reported on an elderly patient with ALK-fusion mCRC who was treated with crizotinib, alectinib, and lorlatinib and achieved PR with the PFS of 3, 0.5, and 11.5 months, respectively. The case provides a new potential treatment strategy for patients with CRC who did not respond to standard treatment with ALK rearrangement but still poses a few questions. Are there any other', 'In this report, we show the clinical efficacy of crizotinib, alectinib, and lorlatinib in an ALK-rearrangement mCRC with LM. This case had several uncommon features: the presence of ALK fusions that are rarely present in mCRC; the first report of a patient with ALK-rearranged mCRC who showed a good response to crizotinib, alectinib, and lorlatinib therapy; and the first case of ALK fusion', 'In this case study, we describe the first instance of ALK rearrangement in CRC detected using NGS of CSF ctDNA, as well as a case of lasting objective tumor response to crizotinib, alectinib, and lorlatinib therapy.\nCASE REPORT']",34036227
NP,[],[],35343863
Crizotinib restored cetuximab sensitivity in SC.,[1],"['monoclonal antibody, cetuximab, strongly inhibited growth of CC, whereas SC was resistant to growth inhibition, and this was coupled to increased tyrosine phosphorylation of MET and RON. Addition of the dual MET/RON tyrosine kinase inhibitor, crizotinib, restored cetuximab sensitivity in SC. To further characterize these two lines, we performed comprehensive genomic and transcriptomic analysis of']",28320945
NP,[],[],38212428
Limited activity in unselected heavily pre-treated patients with advanced solid tumours.,"[2, 3, 8]","['In summary, inhibition of the MEK1/2 and c-MET kinases using PD-0325901 and crizotinib, was well tolerated with a manageable toxicity profile, but with limited activity in unselected heavily pre-treated patients with advanced solid tumours. Further exploration of this combination in a biomarker selected population of patients with advanced CRC was not pursued due to the termination of the', 'In summary, inhibition of the MEK1/2 and c-MET kinases using PD-0325901 and crizotinib, was well tolerated with a manageable toxicity profile, but with limited activity in unselected heavily pre-treated patients with advanced solid tumours. Further exploration of this combination in a biomarker selected population of patients with advanced CRC was not pursued due to the termination of the', 'Single-agent MEK1/2 inhibition has been disappointing in clinical trials targeting RAS mutant (MT) cancers, probably due to upstream receptor activation, resulting in resistance. We previously found that dual c-MET/MEK1/2 inhibition attenuated RASMT colorectal cancer (CRC) xenograft growth. In this study, we assessed safety of MEK1/2 inhibitor PD-0325901 with c-MET inhibitor crizotinib and']",40140597
NP,[],[],31399568
(S)-crizotinib induces massive cell death in CRC spheroids and inhibits c-MET and ErbB3.,"[0, 7]","['(S)-crizotinib inhibits c-MET and ErbB3 in human CRC spheroids', 'p26 (Supplementary Fig.Â\xa0S1). Treating CRC spheroids with 20â\x80\x89Î¼M of TH588 could only reduce cell viability about 20% (Supplementary Fig.Â\xa0S1). In contrast, 20â\x80\x89Î¼M of (S)-crizotinib induced massive cell death (Supplementary Fig.Â\xa0S1). Given that 20â\x80\x89Î¼M of (S)-crizotinib induced massive cell death of CRC spheroids, we concluded that we should use a lower drug concentration during further']",30692572
EpAb2-6 improves the efficacy of crizotinib therapy in a colon cancer animal model,"[0, 1, 4]","['EpAb2-6 improves the efficacy of crizotinib therapy in a colon cancer animal model', 'EpAb2-6 improves the efficacy of crizotinib therapy in a colon cancer animal model', 'To determine whether EpAb2-6 improves the efficacy of crizotinib therapy in colon cancer animal model, we first examined the effect of crizotinib and EpAb2-6 in the colon cancer cell HCT116 metastasis model. As illustrated in Fig.Â\xa07C, NOD/SCID mice were injected intravenously with HCT116 cells and then co-treated with crizotinib and EpAb2-6, or an equivalent volume of control IgG, at 3Â\xa0days']",37543570
Crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation.,[5],['crizotinib completely blocked HGF induced cell migration. CONCLUSIONS: Inhibition of c-Met with crizotinib effectively sensitizes cetuximab-resistant KRAS mutant colorectal cancer cell lines to radiation. Crizotinib has the potential to improve outcomes in locally advanced rectal cancer patients undergoing chemoradiation.'],30412912
